experiment,scheme,traffic_pattern,run_id,flow_id,received_bytes,start_time_s,completion_time_s,fct_s,completed
v2-main-electrical-only,electrical-only,community-local,1,139,50000,0.0705,0.07129608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,140,50000,0.071,0.07179608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,141,50000,0.0715,0.07229608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,142,50000,0.072,0.07279608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,143,50000,0.0725,0.07329608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,144,50000,0.073,0.07379608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,145,50000,0.0735,0.07429608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,146,50000,0.074,0.07479608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,147,50000,0.0745,0.07529608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,148,50000,0.075,0.07579608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,149,50000,0.0755,0.07629608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,150,50000,0.076,0.07679608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,151,50000,0.0765,0.07729608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,152,50000,0.077,0.07779608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,153,50000,0.0775,0.07829608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,154,50000,0.078,0.07879608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,155,50000,0.0785,0.07929608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,156,50000,0.079,0.07979608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,157,50000,0.0795,0.08029608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,158,50000,0.08,0.08079608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,159,50000,0.0805,0.08129608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,160,50000,0.081,0.08179608,0.00079608,true
v2-main-electrical-only,electrical-only,community-local,1,161,50000,0.0815,0.08229608,0.00079608,true
