scenario,seed,offered_load_factor,drain_label,candidate_id,selected_edges,edge_count,candidate_count,selected_for_evaluation,selection_reason
cross-community-distractor-replay,1401,0.5,D3,cand0188,1-7;3-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0189,1-7;3-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0190,1-7;3-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0191,1-7;4-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0192,1-7;4-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0193,1-7;5-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0194,2-3;4-5,2,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0195,2-3;4-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0196,2-3;4-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0197,2-3;5-6,2,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0198,2-3;5-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0199,2-3;6-7,2,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0200,2-4;3-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0201,2-4;3-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0202,2-4;3-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0203,2-4;5-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0204,2-4;5-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0205,2-4;6-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0206,2-5;3-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0207,2-5;3-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0208,2-5;3-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0209,2-5;4-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0210,2-5;4-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0211,2-5;6-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0212,2-6;3-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0213,2-6;3-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0214,2-6;3-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0215,2-6;4-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0216,2-6;4-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0217,2-6;5-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0218,2-7;3-4,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0219,2-7;3-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0220,2-7;3-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0221,2-7;4-5,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0222,2-7;4-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0223,2-7;5-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0224,3-4;5-6,2,764,false,high-impact-edge-pool
cross-community-distractor-replay,1401,0.5,D3,cand0225,3-4;5-7,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0226,3-4;6-7,2,764,false,high-impact-edge-pool|baseline-plus-high-impact
cross-community-distractor-replay,1401,0.5,D3,cand0227,3-5;4-6,2,764,false,not-selected
cross-community-distractor-replay,1401,0.5,D3,cand0228,3-5;4-7,2,764,false,not-selected
